team,season,receiving_td,touchdown,extra_point_attempt,field_goal_attempt,pass_td,run_td,yps,yards_gained,air_yards,passing_yards,receiving_yards,yards_after_catch,rushing_yards,pass_attempts,complete_pass,incomplete_pass,interception,receptions
KC,2022,41,59,50,24,41,18,11.34,12301,4712,5250,5250,2827,1983,639,435,204,12,435
KC,2023,30,40,38,33,30,10,9.83,10375,4095,4383,4376,2673,1810,616,421,195,17,421
LA,2012,25,30,26,23,25,5,9.18,9065,4584,3783,3779,1540,1726,536,332,204,14,332
LA,2013,27,37,34,26,27,10,8.63,8257,3976,3360,3360,1645,1766,494,301,193,11,301
LA,2014,28,40,34,24,28,11,9.23,8742,4232,3695,3695,1729,1645,497,327,170,16,327
LA,2015,14,31,27,21,14,16,8.51,7708,3807,2931,2931,1565,1970,460,273,187,11,273
LA,2016,20,29,23,19,20,9,7.92,7526,3907,3313,3313,1624,1262,515,312,203,20,312
LA,2017,29,48,48,40,29,18,10.04,9826,4054,4023,4019,2099,1976,509,320,189,7,320
LA,2018,33,56,51,34,33,23,11.03,11505,4906,4730,4730,2165,2258,554,368,186,12,368
LA,2019,26,47,42,24,26,20,10.21,10682,4869,4669,4669,2270,1512,614,397,217,17,397
LA,2020,22,43,38,24,22,20,9.56,10230,3937,4183,4179,2241,2035,574,392,182,14,392
LA,2021,45,56,48,32,45,11,10.77,11241,5134,4893,4893,2137,1702,589,406,183,18,406
LA,2022,19,35,31,28,19,15,8.4,8290,3712,3506,3506,1794,1676,514,347,167,15,347
LA,2023,27,47,32,32,27,18,9.56,10425,4507,4300,4298,2044,2056,567,361,206,13,361
LAC,2012,29,35,39,25,29,4,8.56,8371,3967,3606,3606,1796,1470,511,338,173,15,338
LAC,2013,34,44,42,35,34,10,10.26,10804,4218,4478,4505,2104,1971,532,378,154,11,378
LAC,2014,33,39,40,22,33,6,9.72,9764,4901,4296,4296,1927,1370,555,380,175,18,380
LAC,2015,35,39,28,26,35,4,9.87,10817,4838,4855,4855,2622,1367,653,442,211,13,442
LAC,2016,37,48,42,26,37,10,10.0,10100,4913,4386,4386,2020,1516,558,349,209,21,349
LAC,2017,29,40,37,20,29,11,10.57,10597,4780,4551,4551,2150,1615,570,366,204,11,366
LAC,2018,34,52,36,24,34,16,10.97,10304,3959,4316,4316,2130,1887,500,348,152,12,348
LAC,2019,26,39,35,26,26,13,10.67,10536,5079,4648,4648,2173,1460,574,394,180,20,394
LAC,2020,31,46,36,25,31,12,9.56,10674,4723,4548,4548,2299,1793,613,413,200,10,413
LAC,2021,41,60,40,24,41,18,10.4,11677,5093,5014,5014,2392,1849,658,443,215,15,443
LAC,2022,27,42,40,31,27,15,9.59,10907,4521,4791,4777,2538,1542,699,485,214,10,485
LAC,2023,27,38,35,31,27,11,9.04,9909,4733,4312,4295,2160,1658,623,409,214,8,409
LV,2012,26,30,25,31,26,4,9.54,9803,5300,4292,4292,2027,1423,609,376,233,16,376
LV,2013,20,39,37,21,20,16,9.05,8971,4185,3629,3623,1723,2008,498,298,200,20,298
LV,2014,25,31,28,19,25,5,8.11,7976,4949,3456,3456,1544,1245,607,365,242,16,365
LV,2015,37,44,38,21,37,7,9.51,9491,4743,4129,4141,1861,1469,590,373,217,14,373
LV,2016,29,47,37,29,29,17,9.82,10149,4594,4137,4137,1885,1953,587,379,208,7,379
LV,2017,26,39,33,16,26,13,9.5,8966,4655,3761,3767,1692,1564,544,347,197,14,347
LV,2018,22,32,27,27,22,9,9.66,9450,3785,4057,4057,1995,1640,539,382,157,10,382
LV,2019,25,38,34,19,25,13,10.12,9927,3468,4110,4101,2144,1900,513,367,146,8,367
LV,2020,31,51,45,33,31,20,10.28,10528,4491,4383,4383,2056,1926,536,369,167,10,369
LV,2021,25,40,30,40,25,15,10.26,11002,5115,4808,4808,2291,1627,611,429,182,14,429
LV,2022,31,43,35,34,31,12,9.71,10179,5359,4182,4182,1780,2061,569,359,210,17,359
LV,2023,21,32,32,26,21,11,8.63,8604,4283,3666,3661,1606,1559,537,348,189,18,348
MIA,2012,15,32,29,23,15,15,8.77,8430,4341,3425,3425,1271,1819,489,293,196,13,293
MIA,2013,26,34,33,26,26,8,9.08,8980,5690,3966,3966,1535,1447,571,357,214,19,357
MIA,2014,27,40,41,30,27,12,9.43,9680,4616,4066,4064,1874,1885,582,394,188,12,394
MIA,2015,26,37,33,13,26,11,9.87,9552,5154,4231,4231,1876,1506,574,365,209,12,365
MIA,2016,28,43,41,16,28,14,9.99,9047,3804,3716,3716,1796,1829,459,316,143,15,316
MIA,2017,27,32,26,21,27,4,8.83,8724,4884,3792,3792,1681,1395,580,373,207,21,373
MIA,2018,29,37,35,18,29,7,9.13,7905,3699,3309,3254,1722,1749,440,292,148,13,292
MIA,2019,24,35,29,23,24,10,8.97,9095,5463,4117,4117,1581,1168,594,371,223,18,371
MIA,2020,25,42,36,36,25,15,9.3,9385,4264,3937,3937,1654,1704,542,370,172,13,370
MIA,2021,22,34,34,23,22,12,8.45,9170,4473,3936,3936,1725,1579,599,404,195,14,404
MIA,2022,32,45,41,26,32,13,11.02,10969,5320,4765,4765,1789,1693,568,368,200,15,368
MIA,2023,34,62,58,24,34,27,11.14,11539,4306,4698,4698,2227,2327,549,393,156,15,393
MIN,2012,19,36,36,35,19,16,8.44,8343,3344,2935,2935,1610,2653,471,300,171,12,300
MIN,2013,22,48,43,26,22,23,9.11,9161,4720,3645,3645,1584,2089,527,325,202,19,325
MIN,2014,19,32,29,27,19,12,8.93,8633,3943,3566,3566,1836,1819,494,322,172,18,322
MIN,2015,14,34,33,34,14,18,8.75,8405,3273,3246,3246,1808,2229,445,294,151,9,294
MIN,2016,20,30,26,27,20,9,9.23,9179,3874,4119,4119,2030,1222,583,414,169,5,414
MIN,2017,25,41,34,32,25,15,9.35,9669,4006,3929,3929,1979,1983,519,357,162,8,357
MIN,2018,35,45,36,22,35,9,9.88,9842,4396,4298,4298,1947,1499,593,425,168,10,425
MIN,2019,26,45,40,27,26,19,9.8,9396,3535,3729,3725,1851,2146,458,319,139,8,319
MIN,2020,37,58,37,15,37,21,10.33,10579,4103,4265,4265,1936,2291,500,349,151,13,349
MIN,2021,34,48,36,33,34,10,9.88,10635,4844,4450,4450,1936,1945,592,398,194,7,398
MIN,2022,32,52,40,26,32,18,9.85,10972,5015,4818,4808,2102,1674,654,448,206,15,448
MIN,2023,31,38,36,24,31,7,9.99,10624,4929,4700,4700,1926,1563,609,424,185,19,424
NE,2012,35,61,66,29,35,25,9.91,11699,5531,4844,4844,2237,2193,629,402,227,9,402
NE,2013,26,47,44,38,26,21,9.39,10518,5288,4343,4343,2014,2084,613,380,233,11,380
NE,2014,36,49,51,35,36,13,9.63,10164,4869,4291,4291,1981,1752,600,392,208,9,392
NE,2015,38,54,52,33,38,14,10.52,10824,4935,4812,4812,2444,1425,620,404,216,7,404
NE,2016,32,51,46,27,32,19,10.28,10656,4262,4456,4456,2306,1892,547,368,179,2,368
NE,2017,34,52,45,37,34,17,10.35,10944,5356,4619,4619,1950,1903,579,389,190,8,389
NE,2018,29,48,49,27,29,18,10.19,10718,4489,4405,4405,2176,2055,561,378,183,11,378
NE,2019,29,46,39,27,29,17,9.09,9835,4651,4153,4153,1933,1717,611,378,233,9,378
NE,2020,14,34,30,26,14,20,8.65,8374,2995,3124,3124,1534,2358,424,283,141,14,283
NE,2021,28,53,42,36,28,24,9.78,10140,4288,4098,4098,1940,2179,521,364,157,13,364
NE,2022,20,33,32,32,20,13,9.34,9205,4111,3815,3815,1837,1872,524,358,166,14,358
NE,2023,21,31,24,16,21,9,7.96,8092,4094,3392,3389,1845,1634,535,351,184,21,351
NO,2012,46,56,57,18,46,10,11.19,11776,5473,5187,5187,2163,1590,649,423,226,19,423
NO,2013,41,51,48,24,41,10,10.95,11576,5206,5162,5162,2435,1496,638,446,192,12,446
NO,2014,37,53,46,19,37,16,10.68,11543,5039,4952,4952,2173,1827,636,456,180,17,456
NO,2015,34,50,44,18,34,16,10.8,11684,5208,5205,5205,2538,1507,653,460,193,12,460
NO,2016,41,60,49,29,41,18,11.08,12090,4818,5258,5258,2438,1754,652,472,180,15,472
NO,2017,24,49,47,31,24,23,10.86,10617,3418,4334,4334,2369,2092,525,386,139,8,386
NO,2018,33,60,52,28,33,27,10.37,10274,3769,4174,4174,1898,2050,512,381,131,7,381
NO,2019,36,48,48,32,36,12,10.55,10433,3742,4431,4431,2257,1758,570,418,152,6,418
NO,2020,28,58,57,23,28,30,9.75,9989,3255,3945,3945,1911,2286,512,370,142,8,370
NO,2021,32,44,31,25,32,12,8.3,8629,3741,3437,3437,1682,2006,489,293,196,13,293
NO,2022,27,40,33,23,27,13,9.61,9660,4551,3969,3969,1622,1993,496,338,158,14,338
NO,2023,30,43,40,30,30,13,9.07,9992,5016,4225,4225,1799,1769,595,406,189,11,406
NYG,2012,28,47,46,33,28,18,10.12,9670,5132,3967,3967,1406,1876,524,323,201,15,323
NYG,2013,22,38,31,23,22,13,8.99,8807,5372,3875,3875,1490,1342,538,325,213,29,325
NYG,2014,33,48,44,24,33,13,9.61,10355,5023,4470,4470,1981,1613,592,383,209,14,383
NYG,2015,39,45,44,30,39,5,10.02,10471,4709,4500,4508,2121,1618,608,392,216,14,392
NYG,2016,27,33,31,21,27,6,9.33,9338,4702,4027,4027,2011,1432,582,377,205,16,377
NYG,2017,21,28,20,18,21,6,8.44,8720,4391,3680,3680,1727,1559,594,373,221,14,373
NYG,2018,24,37,31,32,24,13,10.27,10116,4373,4405,4405,2200,1656,570,382,188,12,382
NYG,2019,34,46,35,12,34,11,9.39,9489,4889,4070,4064,1807,1690,590,376,214,17,376
NYG,2020,13,26,21,31,13,13,8.58,8153,3986,3336,3336,1264,1787,504,321,183,11,321
NYG,2021,18,26,17,29,18,8,8.03,8364,4367,3463,3463,1617,1697,569,351,218,20,351
NYG,2022,17,38,32,29,17,21,8.48,9128,3335,3431,3431,1698,2534,509,346,163,6,346
NYG,2023,17,28,24,23,17,10,7.74,8120,3787,3351,3351,1601,1881,500,338,162,12,338
NYJ,2012,16,33,30,21,16,13,7.75,7970,4397,3178,3178,1124,1901,472,272,200,19,272
NYJ,2013,19,31,27,33,19,12,8.27,8366,4326,3270,3270,1345,2164,457,266,191,22,266
NYJ,2014,19,31,23,32,19,11,8.06,8438,4128,3206,3206,1506,2249,480,287,193,15,287
NYJ,2015,34,49,42,27,34,11,9.52,10106,5545,4170,4170,1889,1879,588,362,226,16,362
NYJ,2016,19,32,24,27,19,11,8.93,8915,4902,3645,3641,1599,1798,525,311,214,25,311
NYJ,2017,20,35,29,25,20,14,8.7,8412,3941,3501,3511,1536,1717,493,323,170,12,323
NYJ,2018,21,33,30,33,21,11,8.56,8201,4637,3404,3404,1586,1632,503,299,204,19,299
NYJ,2019,21,28,23,19,21,6,8.3,7844,4213,3443,3455,1753,1272,503,323,180,16,323
NYJ,2020,19,28,20,21,19,9,8.09,7603,4247,3115,3115,1516,1690,482,292,190,14,292
NYJ,2021,20,35,23,21,20,14,8.83,9144,4350,3959,3919,1957,1676,582,357,225,20,357
NYJ,2022,15,30,28,30,15,13,8.9,9466,5173,4040,4047,1843,1696,613,357,256,14,357
NYJ,2023,13,21,16,36,13,7,7.58,7950,4000,3373,3373,1782,1652,583,356,227,15,356
PHI,2012,23,36,25,27,23,12,9.08,9732,5281,4075,4060,1829,1881,599,367,232,15,367
PHI,2013,33,55,45,23,33,20,10.68,11110,4996,4406,4408,2040,2576,499,310,189,9,310
PHI,2014,29,49,54,32,29,17,9.87,10941,5585,4581,4581,2105,2004,599,384,215,21,384
PHI,2015,25,42,42,21,25,16,9.35,10179,4245,4341,4337,2251,1755,604,405,199,18,405
PHI,2016,16,35,30,35,16,16,8.59,9218,4552,3798,3798,1768,1827,593,380,213,14,380
PHI,2017,40,51,40,29,40,10,9.28,9847,5280,3967,3967,1550,2133,555,341,214,9,341
PHI,2018,30,42,33,26,30,12,10.11,10393,4458,4524,4527,2151,1581,584,422,162,11,422
PHI,2019,27,43,35,22,27,16,8.97,9850,4917,4063,4063,1820,1950,604,391,213,8,391
PHI,2020,23,40,24,14,23,17,8.47,9102,5318,3728,3728,1504,2033,576,334,242,20,334
PHI,2021,21,46,44,30,21,25,9.12,9726,4230,3585,3585,1729,2727,482,307,175,10,307
PHI,2022,28,60,53,22,28,32,9.97,11019,4442,4364,4378,2053,2532,526,350,176,9,350
PHI,2023,26,48,45,30,26,22,9.15,10103,4844,4067,4067,1786,2200,547,369,178,16,369
PIT,2012,30,40,34,28,30,9,9.25,9347,4949,4012,4010,1846,1548,554,354,200,14,354
PIT,2013,30,39,39,30,30,9,9.58,9666,4958,4306,4252,2005,1395,566,377,189,14,377
PIT,2014,33,44,45,29,33,10,11.12,11612,5230,4997,5013,2297,1768,593,411,182,10,411
PIT,2015,26,42,32,35,26,16,11.2,11193,5889,4822,4832,1950,1744,567,391,176,21,391
PIT,2016,33,47,37,24,33,13,10.2,10361,5180,4377,4377,1983,1776,577,381,196,15,381
PIT,2017,31,44,37,35,31,12,10.3,10614,5242,4534,4534,2189,1696,571,384,187,15,384
PIT,2018,36,53,44,16,36,16,11.1,11609,5327,5174,5131,2777,1462,669,459,210,17,459
PIT,2019,18,27,28,29,18,9,8.28,7655,4026,3214,3210,1747,1464,491,315,176,19,315
PIT,2020,36,48,41,23,36,12,9.25,9496,4652,4129,4115,2054,1374,645,428,217,11,428
PIT,2021,24,34,27,36,24,10,8.52,9383,4425,4017,4005,2042,1596,650,425,225,11,425
PIT,2022,13,29,26,34,13,16,8.33,9173,4708,3661,3671,1438,2085,555,364,191,14,364
PIT,2023,13,29,27,29,13,16,8.55,8616,3785,3421,3414,1738,2037,495,323,172,9,323
SEA,2012,29,47,46,24,29,16,9.22,8855,4064,3234,3228,1271,2596,395,259,136,10,259
SEA,2013,27,43,44,34,27,15,9.39,8954,3995,3508,3508,1517,2210,409,267,142,9,267
SEA,2014,20,42,41,31,20,20,9.5,9524,3715,3492,3492,1881,2782,446,287,159,7,287
SEA,2015,35,48,40,29,35,11,10.0,10147,4144,4061,4063,1851,2292,479,333,146,8,333
SEA,2016,23,36,29,33,23,13,10.2,10159,4849,4422,4422,1837,1611,553,368,185,12,368
SEA,2017,35,40,37,21,35,4,9.34,9286,5429,3979,3979,1609,1629,539,340,199,12,340
SEA,2018,37,53,48,22,37,15,9.22,9122,3832,3448,3448,1385,2572,412,280,132,7,280
SEA,2019,35,52,40,23,35,16,9.81,10118,4863,4110,4110,1723,2215,508,341,167,6,341
SEA,2020,41,56,49,24,41,15,10.12,10176,4834,4245,4245,1841,1988,549,388,161,13,388
SEA,2021,31,50,44,17,31,18,9.85,9330,4619,3815,3815,1743,2081,487,324,163,7,324
SEA,2022,31,44,41,34,31,13,9.94,10270,4319,4282,4282,1780,2054,560,399,161,12,399
SEA,2023,23,34,33,35,23,11,9.83,9672,4121,4167,4167,2019,1591,559,371,188,12,371
SF,2012,23,44,44,30,23,19,9.81,9359,3814,3551,3551,1480,2510,428,289,139,8,289
SF,2013,21,40,44,32,21,18,8.89,8405,3950,3210,3210,1339,2216,409,244,165,8,244
SF,2014,22,34,33,25,22,10,8.71,8662,4737,3407,3407,1393,2192,477,292,185,10,292
SF,2015,18,25,20,24,18,7,8.87,8518,3902,3646,3646,1923,1554,514,322,192,12,322
SF,2016,21,37,33,18,21,16,8.2,8108,4013,3166,3166,1470,2029,480,287,193,10,287
SF,2017,16,32,28,39,16,15,9.4,9832,4810,4235,4235,1910,1672,589,362,227,15,362
SF,2018,30,38,27,33,30,7,10.11,10035,3807,4247,4247,2316,1917,508,331,177,20,331
SF,2019,30,54,49,30,30,23,10.19,10149,3126,4029,4029,2192,2324,463,331,132,13,331
SF,2020,28,48,38,22,28,20,9.86,10250,3770,4320,4317,2294,1898,552,371,181,17,371
SF,2021,26,48,42,27,26,22,10.5,10835,4004,4437,4429,2246,2177,497,343,154,14,343
SF,2022,30,52,51,28,30,21,9.98,10283,3484,4049,4049,2236,2378,503,338,165,9,338
SF,2023,34,61,60,21,34,27,11.42,11374,4019,4577,4577,2189,2413,475,336,139,12,336
TB,2012,30,44,39,28,30,13,9.98,9990,5680,4144,4144,1656,1861,547,311,236,17,311
TB,2013,23,30,31,23,23,6,7.87,7646,4714,3181,3181,1136,1645,502,291,211,12,291
TB,2014,23,31,31,20,23,7,8.92,8295,5488,3623,3623,1154,1375,506,301,205,20,301
TB,2015,25,37,31,29,25,12,10.01,10081,5340,4042,4047,1481,2180,518,312,206,15,312
TB,2016,31,39,32,22,31,8,9.21,9735,5819,4165,4165,1404,1636,560,355,205,18,355
TB,2017,27,37,28,25,27,8,10.12,10440,6172,4607,4613,1648,1457,588,378,210,14,378
TB,2018,40,52,40,20,40,12,11.46,12017,6642,5358,5358,1769,1532,598,408,190,26,408
TB,2019,40,55,43,27,40,15,10.74,11516,6493,5127,5127,1898,1534,598,382,216,30,382
TB,2020,44,61,52,28,44,16,11.03,10935,5637,4776,4776,1890,1533,610,410,200,12,410
TB,2021,45,63,56,25,45,18,10.97,12302,5911,5383,5383,2573,1688,717,492,225,12,492
TB,2022,26,31,24,31,26,5,9.29,10643,5162,4746,4732,2335,1321,738,499,239,10,499
TB,2023,28,36,33,29,28,8,9.13,9388,4865,4044,4044,1927,1530,558,364,194,10,364
TEN,2012,22,35,35,25,22,10,9.05,8605,4783,3577,3585,1405,1695,524,318,206,16,318
TEN,2013,24,40,41,25,24,16,8.95,9112,4799,3710,3710,1661,1906,513,328,185,16,328
TEN,2014,22,28,27,19,22,6,9.47,8567,4701,3738,3695,1628,1460,494,299,195,16,299
TEN,2015,29,41,29,14,29,11,9.16,8892,4858,3893,3893,1619,1492,530,342,188,17,342
TEN,2016,33,53,39,22,33,18,9.5,9462,4750,3720,3720,1321,2201,488,307,181,11,307
TEN,2017,17,36,31,35,17,19,8.78,8431,4375,3394,3394,1298,1846,478,306,172,17,306
TEN,2018,17,33,28,26,17,15,8.88,8262,3265,3255,3255,1648,2032,425,293,132,12,293
TEN,2019,29,50,50,8,29,21,10.54,9780,3898,3956,3956,1836,2240,435,297,138,8,297
TEN,2020,34,62,51,20,34,26,9.95,10192,4059,3826,3826,1529,2705,478,316,162,7,316
TEN,2021,23,46,43,26,23,23,8.57,9586,4004,3745,3745,1772,2419,520,359,161,14,359
TEN,2022,19,35,32,20,19,16,8.46,8287,3567,3227,3227,1541,2144,444,285,159,11,285
TEN,2023,16,33,28,29,16,16,8.58,8442,4570,3512,3512,1596,1861,479,304,175,11,304
WAS,2012,24,49,50,24,24,24,9.98,9810,3805,3666,3666,1643,2720,432,291,141,8,291
WAS,2013,22,40,33,21,22,14,9.02,9979,5193,4057,4057,1843,2167,589,355,234,19,355
WAS,2014,22,39,31,24,22,15,10.19,10205,4223,4461,4461,2543,1697,529,364,165,18,364
WAS,2015,32,44,40,26,32,9,9.97,9971,4459,4294,4294,1956,1578,544,386,158,11,386
WAS,2016,28,45,36,34,28,17,11.45,11413,5298,4948,4946,1969,1709,592,407,185,12,407
WAS,2017,31,42,36,24,31,10,9.56,9302,4153,4093,4093,2140,1458,527,347,180,13,347
WAS,2018,19,32,25,26,19,12,8.44,8090,4195,3287,3283,1511,1782,490,311,179,15,311
WAS,2019,21,31,21,25,21,9,8.61,7607,3640,3205,3205,1454,1588,463,298,165,13,298
WAS,2020,17,35,30,27,17,18,8.55,8898,3711,3796,3796,2187,1637,585,389,196,16,389
WAS,2021,23,38,25,28,23,13,8.69,9261,4118,3746,3746,1898,2070,532,356,176,15,356
WAS,2022,26,35,24,25,26,9,8.29,9413,4453,3783,3783,1673,2154,536,344,192,16,344
WAS,2023,29,44,32,19,29,15,8.96,9501,4767,4174,4174,2092,1596,615,407,208,21,407
